 : 431
“surely : 1
spoke : 1
fiery : 1
Much : 1
your : 1
gloated : 1
these : 1
croaking : 1
you”—here : 1
tinkled : 1
silence : 1
you : 2
sure : 2
spoken! : 1
ah : 1
an : 2
whose : 3
sorrow—sorrow : 1
as : 4
at : 8
flirt : 1
turning : 1
gaunt : 1
pondered : 1
wind : 1
flitting : 1
be : 3
hesitating : 1
Ah : 1
least : 1
I : 32
eyes : 2
As : 1
see : 1
“what : 1
by : 3
Seraphim : 1
whom : 4
unbroken!—quit : 1
scarcely : 1
God : 2
“Sir” : 1
nodded : 1
a : 15
shutter : 1
laden : 1
outpour. : 1
dreary : 1
the : 56
fast : 1
“thy : 1
answer : 1
“Lenore?” : 1
By : 2
borrow : 1
days : 1
somewhat : 1
desert : 1
did : 1
Perched : 2
Take : 1
thy : 6
murmured : 1
bosom’s : 1
Lenore.” : 1
agreeing : 1
She : 1
leave : 1
methought : 1
rare : 2
repeating : 1
bird : 9
forgotten : 1
morrow : 1
reply : 1
uttered—not : 1
Though : 1
dreaming : 2
pallid : 1
ashore : 1
For : 2
muttered : 2
its : 3
Nightly : 1
volume : 1
never : 2
Quaff : 1
take : 1
sinking : 1
little : 1
door!” : 1
some : 4
Bird : 1
for : 2
back : 2
loneliness : 1
lent : 1
With : 1
burden : 2
flown : 2
clasp : 1
Over : 1
thee—by : 1
just : 2
human : 1
Startled : 1
cushion’s : 1
midnight : 1
living : 1
Horror : 1
ghastly : 1
blessed : 1
home : 1
with : 7
“’Tis : 2
form : 1
there : 6
lady : 1
he : 5
ebony : 1
feather : 1
December; : 1
“Be : 1
surcease : 1
maiden : 3
fearing : 1
Back : 1
relevancy : 1
darkness : 1
if : 4
guessing : 1
hath : 3
implore; : 1
Ever : 1
unbroken : 1
in : 6
made : 1
nothing : 6
distant : 1
is : 9
it : 4
being : 1
distinctly : 1
Deep : 1
“Though : 1
ever : 1
unhappy : 1
Some : 1
implore— : 1
Madam : 1
gave : 1
shrieked : 1
engaged : 1
Darkness : 1
Meant : 1
In : 1
evermore. : 1
Is : 1
air : 1
It : 1
more. : 3
bore— : 1
thinking : 1
Pallas : 2
decorum : 1
streaming : 1
denser : 1
shaven : 1
have : 3
betook : 1
bore; : 1
within : 2
haunted—tell : 1
wandering : 1
fowl : 2
off : 1
Soon : 1
Hope : 1
unseen : 1
Straight : 1
lattice; : 1
“Prophet!” : 2
placid : 1
sign : 1
upon : 5
while : 1
there—is : 1
“tapping : 1
me—tell : 1
Nothing : 1
that : 15
Merely : 1
faster : 1
floor. : 2
whether : 1
than : 2
me : 7
peering : 1
floor; : 1
entrance : 2
stock : 1
all : 4
syllable : 1
shall : 2
my : 24
fluttered— : 1
throws : 1
heart : 3
friends : 1
utters : 1
sainted : 1
forget : 1
Tempter : 1
dream : 1
And : 8
evil!—prophet : 2
curtain : 1
no : 7
stronger; : 1
soul : 6
Eagerly : 1
dreams : 1
head : 1
Gilead?—tell : 1
and : 30
of : 21
oh : 1
land : 1
bust : 6
core; : 1
floor : 1
heard : 2
lordly : 1
hear : 1
reclining : 1
on : 6
That : 2
louder : 1
stepped : 1
or : 7
entreating : 2
Followed : 1
perched : 1
sought : 1
stern : 1
lifted—nevermore! : 1
followed : 1
minute : 1
master : 1
burning : 1
Ghastly : 1
wrought : 1
velvet : 2
Of : 1
lining : 2
lore— : 1
fantastic : 1
spoken : 2
Let : 2
sitting : 3
On : 4
farther : 1
before.” : 1
stood : 2
echo : 1
sorrow : 1
uncertain : 1
Lenore— : 3
perfumed : 1
implore!” : 1
thereat : 1
above : 7
Then : 4
press : 1
Lenore!” : 1
thee : 3
censer : 1
forgiveness : 1
myself : 1
then : 4
ancient : 1
each : 2
something : 1
balm : 1
seat : 1
mystery : 2
gently : 2
before— : 1
foot-falls : 1
Raven : 10
Night’s : 2
beguiling : 2
fact : 1
long : 1
moment : 1
Open : 1
remember : 1
into : 6
cried : 1
quaff : 1
came : 3
stillness : 2
plainly : 1
so : 4
“art : 1
upstarting— : 1
But : 6
more!” : 1
broken : 1
stopped : 1
beating : 1
weary : 1
